id00174,3,2,8,2,3,1,4,3,1,3,2,1,0,0,0,1
id02616,1,2,4,1,3,1,4,1,1,3,2,1,0,0,0,1
id02781,2,2,5,4,4,1,2,2,1,3,2,1,0,0,0,0
id02479,1,2,4,1,6,2,1,1,1,2,1,1,0,0,0,0
id00247,1,3,4,1,3,1,1,1,1,3,1,1,0,0,0,1
id00256,1,2,1,1,4,1,1,1,1,2,1,1,0,0,0,0
id04835,1,2,14,1,4,1,1,1,1,3,1,1,0,0,0,0
id02958,2,5,8,1,4,1,1,1,1,2,1,1,0,0,0,0
id01929,1,1,1,1,3,1,1,1,1,3,1,1,0,0,0,0
id04739,2,1,3,4,1,1,2,2,1,3,1,1,0,0,0,1
id00826,1,3,4,1,3,1,1,1,1,1,1,1,0,0,0,1
id00638,2,4,1,1,2,1,1,1,1,2,1,1,0,0,0,0
id03732,1,3,7,1,3,1,1,1,1,3,1,1,0,4,0,0
id04572,2,3,1,1,3,1,1,1,1,1,1,1,0,0,0,1
id02070,3,5,6,1,3,1,1,1,1,2,1,1,0,3,1,1
id02725,2,4,8,4,4,1,1,2,1,2,1,1,0,0,0,0
id00709,2,1,1,1,3,1,1,1,1,2,1,1,0,0,0,1
id03387,2,4,8,4,3,1,1,2,1,2,1,1,0,0,0,1
id04042,2,5,8,1,4,1,1,1,1,2,1,1,0,0,0,0
id01760,2,5,6,1,3,1,1,1,1,2,1,1,0,3,0,1
id02914,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0
id01643,2,2,0,4,3,1,2,2,1,1,1,1,0,0,0,1
id02324,2,4,4,4,4,1,2,2,1,2,1,1,0,0,0,0
id04922,2,1,3,1,2,1,1,1,1,1,1,1,2,1,0,0
id02252,1,1,8,1,4,1,1,1,1,1,1,1,0,0,0,0
id02045,3,2,8,3,4,1,1,3,1,3,1,1,0,0,0,0
id01682,1,1,8,1,4,1,1,1,1,3,1,1,0,0,0,0
id02485,1,1,3,1,7,1,1,1,1,4,4,1,1,1,0,1
id01377,1,2,4,1,4,1,1,1,1,3,4,1,0,0,0,0
id02339,2,2,7,4,6,1,1,2,1,3,4,1,1,1,0,1
id04281,2,1,1,1,3,1,5,1,2,1,6,1,0,0,0,1
id03089,3,1,8,3,4,2,5,3,1,3,6,1,0,0,0,1
id04879,1,1,1,1,2,1,5,1,2,2,6,1,0,0,0,0
id03060,1,2,1,1,3,1,5,1,2,3,6,1,0,0,1,1
id04659,1,2,4,1,3,1,5,1,2,2,6,1,0,0,0,1
id03172,1,1,4,1,4,1,5,1,2,2,6,1,0,0,0,0
id00582,3,1,1,3,1,1,5,2,2,2,6,1,0,0,1,1
id03026,3,1,3,4,3,1,5,2,1,1,6,1,0,0,0,1
id01730,1,3,3,1,4,1,5,1,2,1,6,1,2,1,0,1
id00766,1,3,4,1,3,1,5,1,2,1,6,1,0,0,0,0
id04862,1,1,1,1,3,1,5,1,2,1,6,1,0,0,0,0
id04717,1,3,3,1,4,1,5,1,2,1,6,1,1,4,0,0
id01655,2,2,3,1,4,1,5,1,2,1,6,1,1,4,0,1
id04024,2,1,3,1,3,1,5,1,1,1,6,1,2,1,1,1
id01446,1,1,6,1,4,1,5,1,1,2,6,1,0,0,0,0
id03516,1,3,4,1,8,1,5,1,2,2,6,1,0,0,0,0
id03781,2,3,4,1,4,1,5,1,2,2,6,1,0,0,0,0
id00313,1,4,14,1,3,1,5,1,2,2,6,1,0,0,1,1
id02580,1,4,4,1,2,1,5,1,2,2,6,1,0,0,0,0
id02165,2,4,4,4,3,1,5,2,2,2,6,1,0,0,0,1
id02198,1,4,6,1,2,1,5,1,1,1,6,1,2,4,0,0
id01777,1,4,4,1,3,1,5,1,2,2,6,1,0,0,0,1
id00014,1,5,4,1,3,1,5,1,2,2,6,1,0,0,1,1
id01652,1,4,6,1,3,1,5,1,1,2,6,1,0,3,0,0
id00204,2,4,4,1,3,1,5,1,2,2,6,1,0,0,1,1
id04422,2,2,6,1,4,1,5,1,2,2,6,1,2,1,0,0
id00975,1,2,4,1,4,1,5,1,2,2,6,1,0,0,0,0
id00020,2,1,1,1,4,1,5,1,2,2,6,1,0,0,0,0
id02235,2,1,7,1,4,1,5,1,2,1,6,1,0,2,0,0
id02531,2,5,4,1,3,1,5,1,2,2,6,1,0,0,1,1
